modelo,marca,ano,quilometragem,potenciamotor,combustivel,cambio,direcao,cor,portas,finalplaca,vidroeletrico,travaeletrica,arcondicionado,direcaohidraulica,som,airbag,alarme,sensorre,camerare,blindado,valor
PEUGEOT 207 XR SPORT 1.4 FLEX 8V 5P,PEUGEOT,2010,81000,1.4,Flex,Manual,Hidráulica,Cinza,4,4,1,1,1,1,1,0,1,0,0,0,16500.0
PEUGEOT 208 ALLURE 1.6 FLEX 16V 5P AUT.,PEUGEOT,2018,45000,1.6,Flex,Automático,Elétrica,Branco,4,8,1,1,1,0,1,1,1,1,0,0,56000.0
PEUGEOT 408 SEDAN ALLURE 2.0 FLEX 16V 4P MEC.,PEUGEOT,2012,112000,2.0,Flex,Manual,Elétrica,Verde,4,6,1,1,1,1,1,1,1,1,0,0,23900.0
PEUGEOT 207 XR 1.4 FLEX 8V 5P,PEUGEOT,2011,140,1.4,Flex,Manual,Hidráulica,Cinza,4,0,1,1,1,1,0,0,1,1,1,0,16900.0
PEUGEOT 308 FELINE 2.0 FLEX 16V 5P AUT.,PEUGEOT,2013,114000,2.0,Flex,Automático,Hidráulica,Verde,4,3,1,0,1,1,1,1,1,1,0,0,33000.0
PEUGEOT 208 GRIFFE 1.6 FLEX 16V 5P MEC.,PEUGEOT,2021,1393,1.6,Flex,Automático,Elétrica,Preto,4,8,1,1,1,0,1,1,1,1,1,0,97000.0
PEUGEOT 207 SEDAN PASSION XR 1.4 FLEX 8V 4P,PEUGEOT,2009,0,1.4,Gasolina,Manual,Hidráulica,Outra,4,9,1,1,1,1,1,0,1,0,0,0,13700.0
PEUGEOT 408 SEDAN ALLURE 2.0 FLEX 16V 4P MEC.,PEUGEOT,2012,111133,2.0,Flex,Manual,Elétrica,Verde,4,6,1,1,1,1,1,1,1,1,0,0,23900.0
PEUGEOT 206 SELECTION/ SENSATION 1.0 16V 3P,PEUGEOT,2005,143092,1.0,Gasolina,Manual,Hidráulica,Prata,4,2,1,1,1,1,0,0,1,0,0,0,5000.0
PEUGEOT 307 SED. PRESENCE 1.6 FLEX 16V 4P,PEUGEOT,2009,20000000,1.6,Gasolina,Manual,Hidráulica,Preto,4,7,0,0,0,0,0,0,0,0,0,0,6000.0
PEUGEOT 406 BREAK ST 2.0,PEUGEOT,2009,200000,1.4,Flex,Manual,Hidráulica,Preto,4,2,0,0,0,0,0,0,0,0,0,0,14900.0
PEUGEOT 206 SW PRESENCE 1.4/ 1.4 FLEX 8V 5P,PEUGEOT,2007,70000,1.4,Flex,Manual,Hidráulica,Cinza,4,0,1,1,1,0,1,1,0,0,0,0,6500.0
PEUGEOT 207 XS 1.6 FLEX 16V 5P AUT.,PEUGEOT,2011,113000,1.6,Flex,Automático,Hidráulica,Prata,4,3,1,1,1,1,1,1,1,0,0,0,14500.0
PEUGEOT 207 SEDAN PASSION XS 1.6 FLEX 16V 4P,PEUGEOT,2010,94813,1.6,Flex,Manual,Hidráulica,Prata,4,9,1,1,1,1,1,0,1,0,0,0,21000.0
PEUGEOT PARTNER FURGÃO 1.6 16V/ 1.6 16V FLEX 3P,PEUGEOT,2021,4500,1.6,Flex,Manual,Hidráulica,Branco,2,7,0,1,1,1,1,1,1,1,1,0,73900.0
PEUGEOT 207 SW XR 1.4 FLEX 8V 5P,PEUGEOT,2013,100,1.4,Flex,Manual,Hidráulica,Azul,4,1,1,1,1,1,1,0,1,0,0,0,20800.0
PEUGEOT 207 SW XR 1.4 FLEX 8V 5P,PEUGEOT,2013,89555,1.4,Flex,Manual,Hidráulica,Azul,4,1,1,1,0,1,0,0,1,0,0,0,0.0
PEUGEOT 207 XR SPORT 1.4 FLEX 8V 5P,PEUGEOT,2013,115000,1.4,Flex,Manual,Hidráulica,Prata,4,7,1,1,1,1,1,1,1,0,0,0,20000.0
PEUGEOT 206 SOLEIL/QUIKSILVER 1.0 16V 3P,PEUGEOT,2003,171599,1.0,Gasolina,Manual,Hidráulica,Azul,4,8,1,1,1,1,1,1,1,0,0,0,13500.0
PEUGEOT 206 FELINE 1.4/ 1.4 FLEX 8V 5P,PEUGEOT,2008,0,1.4,Flex,Manual,Hidráulica,Prata,4,0,1,1,1,1,1,1,1,0,0,0,10800.0
PEUGEOT 207 QUIKSILVER 1.4 FLEX 8V 5P,PEUGEOT,2010,160000,1.4,Gasolina,Manual,Hidráulica,Prata,4,4,1,1,1,1,1,1,1,0,0,0,13800.0
PEUGEOT 206 SOLEIL 1.6 5P,PEUGEOT,2001,111111,1.6,Gasolina,Manual,Mecânica,Cinza,4,6,0,0,0,0,0,0,0,0,0,0,8000.0
PEUGEOT 207 XR 1.4 FLEX 8V 5P,PEUGEOT,2011,0,1.4,Flex,Manual,Hidráulica,Vermelho,4,4,1,1,1,1,1,0,1,1,0,0,15500.0
PEUGEOT 206 FELINE 1.4/ 1.4 FLEX 8V 5P,PEUGEOT,2008,0,1.4,Flex,Manual,Hidráulica,Prata,4,0,1,1,1,1,1,1,1,0,0,0,9900.0
PEUGEOT 207 XR 1.4 FLEX 8V 5P,PEUGEOT,2012,118000,1.4,Flex,Manual,Hidráulica,Preto,4,2,1,1,1,1,0,0,1,1,0,0,14999.0
PEUGEOT 207 SW XR 1.4 FLEX 8V 5P,PEUGEOT,2013,127000,1.4,Flex,Manual,Hidráulica,Prata,4,6,1,1,1,1,1,0,1,1,0,0,24000.0
PEUGEOT ,PEUGEOT,2013,68000,1.4,Flex,Manual,Hidráulica,Prata,4,7,0,0,0,0,0,0,0,0,0,0,20000.0
PEUGEOT 206 FELINE 1.4/ 1.4 FLEX 8V 5P,PEUGEOT,2006,1,1.4,Flex,Manual,Hidráulica,Prata,4,2,1,0,1,1,0,0,0,0,0,0,13900.0
PEUGEOT 207 QUIKSILVER 1.4 FLEX 8V 3P,PEUGEOT,2012,85439,1.4,Gasolina,Automático,Hidráulica,Branco,2,9,1,1,1,0,1,0,0,0,0,0,17000.0
PEUGEOT 206 PRESENCE 1.4/ 1.4 FLEX 8V 5P,PEUGEOT,2008,12345,1.4,Flex,Manual,Hidráulica,Prata,4,0,1,1,1,1,1,1,1,0,0,0,12500.0
PEUGEOT 207 SEDAN PASSION XR 1.4 FLEX 8V 4P,PEUGEOT,2011,149620,1.4,Flex,Manual,Hidráulica,Branco,4,9,1,1,1,1,1,1,1,0,0,0,16700.0
PEUGEOT 207 SEDAN PASSION XR 1.4 FLEX 8V 4P,PEUGEOT,2013,1,1.4,Flex,Manual,Hidráulica,Prata,4,1,1,1,1,1,1,1,1,1,0,0,22000.0
PEUGEOT 206 SOLEIL 1.6 3P,PEUGEOT,2001,160000,1.6,Gasolina,Manual,Hidráulica,Cinza,2,9,1,1,1,1,1,0,0,0,0,0,8000.0
PEUGEOT 207 SW ESCAPADE 1.6 16V FLEX 5P,PEUGEOT,2011,140,1.4,Flex,Manual,Hidráulica,Preto,4,5,1,1,1,1,1,1,1,0,0,0,19900.0
PEUGEOT 207 SEDAN PASSION XR 1.4 FLEX 8V 4P,PEUGEOT,2011,140000,1.4,Flex,Manual,Hidráulica,Outra,4,9,1,1,1,1,1,1,1,1,0,0,20000.0
PEUGEOT 408 SEDAN ALLURE 2.0 FLEX 16V 4P MEC.,PEUGEOT,2012,110534,2.0,Flex,Manual,Elétrica,Verde,4,6,1,0,1,1,1,1,0,1,0,0,23500.0
PEUGEOT 206 SELECTION/ SENSATION 1.0 16V 5P,PEUGEOT,2003,1,1.0,Gasolina,Manual,Mecânica,Prata,4,9,1,1,1,0,1,1,0,0,0,0,10000.0
PEUGEOT 207 XR SPORT 1.4 FLEX 8V 5P,PEUGEOT,2009,110000,1.4,Flex,Manual,Hidráulica,Prata,4,6,1,1,1,1,1,0,1,1,0,0,18900.0
PEUGEOT 2008 ALLURE 1.6 FLEX 16V 5P MEC.,PEUGEOT,2017,49900,1.6,Flex,Manual,Elétrica,Prata,4,3,1,1,1,1,1,1,1,1,0,0,50000.0
PEUGEOT 206 FELINE 1.4/ 1.4 FLEX 8V 5P,PEUGEOT,2007,234359,1.4,Flex,Manual,Hidráulica,Prata,4,0,1,1,1,1,0,0,0,0,0,0,12000.0
PEUGEOT 207 SEDAN PASSION XR 1.4 FLEX 8V 4P,PEUGEOT,2009,100000,1.6,Flex,Manual,Hidráulica,Cinza,4,9,1,1,1,1,0,0,1,0,0,0,17000.0
PEUGEOT 5008 GRIFFE PACK 1.6 TURBO 16V 5P AUT.,PEUGEOT,2019,19000,1.6,Gasolina,Manual,Assistida,Branco,4,7,1,1,1,1,1,1,1,1,1,0,157000.0
PEUGEOT 207 SED. PASSION XR SPORT 1.4 FLEX 8V 4P,PEUGEOT,2010,86000,1.4,Flex,Manual,Hidráulica,Verde,4,8,1,1,1,1,1,1,1,0,0,0,20500.0
PEUGEOT 207 SW XR 1.4 FLEX 8V 5P,PEUGEOT,2011,115000,1.4,Flex,Manual,Hidráulica,Prata,4,2,1,1,1,1,0,1,1,0,0,0,15000.0
PEUGEOT 207 SEDAN PASSION XR 1.4 FLEX 8V 4P,PEUGEOT,2011,100000,1.4,Flex,Manual,Hidráulica,Prata,4,5,1,1,1,1,1,0,1,0,0,0,17000.0
PEUGEOT 207 SEDAN PASSION XR 1.4 FLEX 8V 4P,PEUGEOT,2011,100000,1.4,Flex,Manual,Hidráulica,Cinza,4,9,1,1,1,1,1,0,1,0,0,0,20000.0
PEUGEOT 208 ALLURE 1.5 FLEX 8V 5P,PEUGEOT,2014,142000,1.5,Flex,Manual,Hidráulica,Branco,4,6,1,1,1,1,1,1,0,0,0,0,38000.0
PEUGEOT 207 XS 1.6 FLEX 16V 5P,PEUGEOT,2010,153000,1.6,Flex,Manual,Hidráulica,Verde,4,4,1,1,1,1,1,1,0,0,0,0,18500.0
PEUGEOT 307,PEUGEOT,2008,148000,2.0,Gasolina,Manual,Hidráulica,Prata,4,6,1,1,1,1,1,1,1,0,0,0,12000.0
PEUGEOT 207 SW XR 1.4 FLEX 8V 5P,PEUGEOT,2010,144000,1.4,Flex,Manual,Hidráulica,Cinza,4,4,1,1,1,1,1,1,1,0,0,0,15000.0
PEUGEOT 206 SW FELINE 1.6/ 1.6 FLEX 16V 5P,PEUGEOT,2006,99,1.6,Flex,Manual,Hidráulica,Prata,4,0,1,1,1,1,1,1,1,0,0,0,13200.0
PEUGEOT 206 MOONLIGHT 1.4 FLEX 8V 5P,PEUGEOT,2008,200000,1.4,Gasolina,Manual,Hidráulica,Preto,4,1,1,1,1,1,1,1,1,1,1,0,10000.0
PEUGEOT 208 GRIFFE 1.6 FLEX 16V 5P AUT.,PEUGEOT,2019,23000,1.6,Flex,Automático,Elétrica,Outra,4,6,1,1,1,0,1,1,1,1,1,0,63990.0
PEUGEOT 207 SW ESCAPADE 1.6 16V FLEX 5P,PEUGEOT,2011,140,1.4,Flex,Manual,Hidráulica,Preto,4,5,1,1,1,1,1,0,1,1,0,0,18900.0
PEUGEOT 307 SOLEIL/ PRESENCE 1.6/1.6 FLEX 16V 5P,PEUGEOT,2009,121476,1.6,Flex,Manual,Elétrica,Preto,4,6,1,0,1,1,1,1,0,1,0,0,7000.0
PEUGEOT 3008 GRIFFE 1.6 TURBO 16V 5P AUT.,PEUGEOT,2012,5280,1.6,Gasolina,Automático,Hidráulica,Prata,4,5,0,0,0,0,0,0,0,0,0,0,32500.0
PEUGEOT 208 ACTIVE PACK 1.2 FLEX 12V 5P MEC.,PEUGEOT,2017,48000,1.2,Flex,Manual,Elétrica,Branco,4,4,1,1,1,1,1,1,1,1,0,0,45000.0
PEUGEOT 207 SW XR 1.4 FLEX 8V 5P,PEUGEOT,2010,142000,1.4,Flex,Manual,Hidráulica,Cinza,4,4,1,1,1,1,1,1,1,0,1,0,15000.0
PEUGEOT 207 XR 1.4 FLEX 8V 5P,PEUGEOT,2011,100000,1.4,Gasolina,Manual,Hidráulica,Vermelho,4,4,1,1,0,1,1,1,1,0,0,0,20000.0
PEUGEOT 208 ACTIVE 1.2 FLEX 12V 5P MEC.,PEUGEOT,2017,27000,1.2,Flex,Manual,Elétrica,Prata,4,5,1,1,1,0,1,1,1,1,1,0,46000.0
PEUGEOT 408 SEDAN ALLURE 2.0 FLEX 16V 4P MEC.,PEUGEOT,2012,112000,2.0,Flex,Manual,Elétrica,Verde,4,6,1,1,1,1,1,1,1,1,0,0,24900.0
PEUGEOT 206 CC 1.6 16V 2P,PEUGEOT,2006,108,1.6,Flex,Manual,Hidráulica,Prata,4,9,1,1,1,1,1,1,1,0,0,0,12000.0
PEUGEOT 307 CC 2.0 16V 138CV 2P MEC.,PEUGEOT,2005,100000,2.0,Gasolina,Automático,Hidráulica,Vermelho,2,2,1,1,0,1,0,1,0,0,0,0,45000.0
PEUGEOT 208 ALLURE 1.6 FLEX 16V 5P AUT.,PEUGEOT,2017,52000,1.6,Flex,Automático,Elétrica,Branco,4,8,1,1,1,0,1,1,0,1,0,0,47900.0
PEUGEOT 307 SED. FELINE 2.0/2.0 FLEX 16V 4P MEC.,PEUGEOT,2007,77000,2.0,Gasolina,Manual,Assistida,Prata,4,1,1,1,1,1,1,1,1,0,0,0,18000.0
PEUGEOT 208 GRIFFE 1.6 FLEX 16V 5P AUT.,PEUGEOT,2021,21502,1.6,Flex,Automático,Elétrica,Preto,4,8,1,1,1,0,1,1,1,1,1,0,91500.0
PEUGEOT HOGGAR XR 1.4 FLEX 8V 2P,PEUGEOT,2011,0,1.4,Flex,Manual,Hidráulica,Branco,2,3,1,1,1,1,1,0,0,0,0,0,25000.0
PEUGEOT 207 XR 1.4 FLEX 8V 5P,PEUGEOT,2011,120000,1.4,Flex,Manual,Hidráulica,Cinza,4,8,1,1,1,1,1,1,1,1,0,0,13700.0
PEUGEOT 408 SEDAN ALLURE 2.0 FLEX 16V 4P AUT.,PEUGEOT,2012,89000,2.0,Flex,Automático,Hidráulica,Azul,4,8,1,1,1,1,1,1,1,1,0,0,37000.0
PEUGEOT 3008 GRIFFE PACK 1.6 TURBO 16V 5P AUT.,PEUGEOT,2019,38,1.6,Gasolina,Automático,Elétrica,Branco,4,7,0,0,0,0,0,0,0,0,0,0,160000.0
PEUGEOT 308 ALLURE 2.0 FLEX 16V 5P MEC.,PEUGEOT,2013,92320,2.0,Flex,Manual,Hidráulica,Branco,4,4,1,1,1,1,1,1,0,1,0,0,34900.0
PEUGEOT 207 SW ESCAPADE 1.6 16V FLEX 5P,PEUGEOT,2011,140,1.4,Flex,Manual,Hidráulica,Preto,4,5,1,1,1,1,1,1,1,0,0,0,19000.0
PEUGEOT 206 PASSION 1.6,PEUGEOT,2006,139197,1.6,Flex,Manual,Hidráulica,Prata,4,9,1,1,1,1,1,0,1,0,0,0,14000.0
PEUGEOT 408 SEDAN ALLURE 2.0 FLEX 16V 4P MEC.,PEUGEOT,2012,112000,2.0,Flex,Manual,Elétrica,Verde,4,6,1,1,1,1,1,1,1,1,0,0,23999.0
PEUGEOT 207 XR SPORT 1.4 FLEX 8V 3P,PEUGEOT,2010,78000,1.4,Flex,Manual,Hidráulica,Prata,4,4,1,1,1,0,0,0,1,0,0,0,26500.0
PEUGEOT 408 SEDAN ALLURE 2.0 FLEX 16V 4P MEC.,PEUGEOT,2012,112000,2.0,Flex,Manual,Elétrica,Verde,4,6,1,1,1,1,1,1,1,1,0,0,25000.0
PEUGEOT 207 XR 1.4 FLEX 8V 5P,PEUGEOT,2013,130000,1.4,Flex,Manual,Hidráulica,Preto,4,7,1,1,1,1,1,1,1,0,0,0,9000.0
PEUGEOT 207 SEDAN PASSION XR 1.4 FLEX 8V 4P,PEUGEOT,2010,1400100,1.4,Flex,Manual,Hidráulica,Cinza,4,2,0,1,1,1,1,0,1,1,0,0,19000.0
PEUGEOT 408 SEDAN ALLURE 2.0 FLEX 16V 4P MEC.,PEUGEOT,2012,112000,2.0,Flex,Manual,Elétrica,Verde,4,6,1,1,1,1,1,1,1,1,0,0,23500.0
PEUGEOT 408 SEDAN ALLURE 2.0 FLEX 16V 4P MEC.,PEUGEOT,2012,69500,2.0,Flex,Manual,Elétrica,Branco,4,8,1,1,1,0,1,1,1,1,0,0,28500.0
PEUGEOT 408 SEDAN ALLURE 2.0 FLEX 16V 4P MEC.,PEUGEOT,2012,112000,2.0,Flex,Manual,Elétrica,Verde,4,6,1,1,1,1,1,1,1,1,0,0,24200.0
PEUGEOT 208 GRIFFE 1.6 FLEX 16V 5P AUT.,PEUGEOT,2016,78000,1.6,Flex,Automático,Hidráulica,Branco,4,5,1,1,1,1,1,1,1,1,1,0,47000.0
PEUGEOT 207 SEDAN PASSION XR 1.4 FLEX 8V 4P,PEUGEOT,2014,1,1.4,Flex,Manual,Hidráulica,Prata,4,1,1,1,1,1,1,1,1,1,0,0,21500.0
PEUGEOT 408 SEDAN ALLURE 2.0 FLEX 16V 4P MEC.,PEUGEOT,2012,112000,2.0,Flex,Manual,Elétrica,Verde,4,6,1,1,1,0,1,1,1,1,0,0,24000.0
PEUGEOT 207 QUIKSILVER 1.4 FLEX 8V 5P,PEUGEOT,2011,98542,1.4,Flex,Manual,Hidráulica,Prata,4,2,1,1,1,1,1,1,1,1,1,0,15900.0
PEUGEOT 207 XS 1.6 FLEX 16V 5P AUT.,PEUGEOT,2013,43000,1.6,Flex,Automático,Hidráulica,Cinza,4,6,1,1,1,1,1,1,1,1,0,0,25000.0
PEUGEOT 206 PRESENCE 1.4/ 1.4 FLEX 8V 5P,PEUGEOT,2008,136000,1.4,Flex,Manual,Hidráulica,Prata,4,9,1,1,1,1,1,1,1,0,0,0,11500.0
PEUGEOT 207 SEDAN PASSION XR 1.4 FLEX 8V 4P,PEUGEOT,2010,1111111111,1.4,Flex,Manual,Hidráulica,Cinza,4,2,0,1,1,1,1,0,1,1,0,0,19000.0
PEUGEOT 408 SEDAN ALLURE 2.0 FLEX 16V 4P MEC.,PEUGEOT,2012,112324,2.0,Flex,Manual,Elétrica,Verde,4,6,1,1,1,1,1,1,1,1,0,0,23900.0
PEUGEOT 207 SEDAN PASSION XS 1.6 FLEX 16V 4P AUT,PEUGEOT,2010,128000,1.6,Gasolina,Automático,Hidráulica,Cinza,4,0,1,1,1,1,1,0,1,1,0,0,0.0
PEUGEOT 207 SEDAN PASSION XR 1.4 FLEX 8V 4P,PEUGEOT,2010,140000,1.4,Flex,Manual,Hidráulica,Preto,4,5,1,1,1,1,1,1,1,1,0,0,18500.0
PEUGEOT 207 SEDAN PASSION XS 1.6 FLEX 16V 4P AUT,PEUGEOT,2013,84000,1.6,Flex,Automático,Hidráulica,Outra,4,7,1,1,1,1,1,1,1,1,0,0,25000.0
PEUGEOT 307 SED. PRESENCE 1.6 FLEX 16V 4P,PEUGEOT,2010,174000,1.6,Flex,Manual,Assistida,Prata,4,6,1,1,1,1,1,1,1,1,0,0,19000.0
PEUGEOT ,PEUGEOT,2010,115000,1.4,Flex,Manual,Hidráulica,Preto,4,8,1,1,1,1,1,0,1,0,0,0,16000.0
PEUGEOT 307 SED. PRESENCE 1.6 FLEX 16V 4P,PEUGEOT,2010,135000,1.6,Flex,Manual,Hidráulica,Verde,4,1,1,1,1,1,1,1,1,0,0,0,15500.0
PEUGEOT 207 SEDAN PASSION XR 1.4 FLEX 8V 4P,PEUGEOT,2009,0,1.4,Flex,Manual,Hidráulica,Prata,4,2,1,1,1,1,1,0,0,0,1,0,16000.0
PEUGEOT 308 FELINE 2.0 FLEX 16V 5P AUT.,PEUGEOT,2013,120000,2.0,Flex,Automático,Hidráulica,Cinza,4,3,1,1,1,1,1,1,1,1,0,0,34800.0
PEUGEOT 207 SW XR 1.4 FLEX 8V 5P,PEUGEOT,2012,99999999,1.4,Flex,Manual,Hidráulica,Preto,4,6,1,1,1,1,1,0,0,0,0,0,15800.0
PEUGEOT 408 SEDAN ALLURE 2.0 FLEX 16V 4P MEC.,PEUGEOT,2012,112324,2.0,Flex,Manual,Elétrica,Verde,4,6,1,1,1,1,1,1,1,1,0,0,24700.0
PEUGEOT 208 ALLURE INCONCERT 1.6 FLEX 16V 5P AUT,PEUGEOT,2016,45617,1.6,Flex,Automático,Elétrica,Prata,4,2,1,1,1,0,1,1,1,1,0,0,45500.0
PEUGEOT 207 SW XR SPORT 1.4 FLEX 8V 5P,PEUGEOT,2010,122,1.4,Flex,Manual,Hidráulica,Cinza,4,5,1,1,1,1,1,0,0,0,0,0,19000.0
PEUGEOT 207 SW XR 1.4 FLEX 8V 5P,PEUGEOT,2012,0,1.4,Flex,Manual,Hidráulica,Branco,4,4,1,1,1,1,1,0,1,0,0,0,21000.0
PEUGEOT 207 XR 1.4 FLEX 8V 5P,PEUGEOT,2011,150,1.4,Flex,Manual,Hidráulica,Cinza,4,8,1,1,1,1,1,1,1,1,0,0,14300.0
PEUGEOT 207 SW XR SPORT 1.4 FLEX 8V 5P,PEUGEOT,2011,146,1.4,Flex,Manual,Hidráulica,Branco,4,8,1,1,1,1,1,1,1,1,0,0,15500.0
PEUGEOT HOGGAR XR 1.4 FLEX 8V 2P,PEUGEOT,2011,0,1.4,Flex,Manual,Hidráulica,Branco,2,3,1,1,1,1,1,0,0,0,0,0,24900.0
PEUGEOT 207 SEDAN PASSION XS 1.6 FLEX 16V 4P AUT,PEUGEOT,2013,84000,1.6,Flex,Automático,Hidráulica,Outra,4,7,1,1,1,1,1,1,1,1,0,0,24500.0
PEUGEOT 207 SEDAN PASSION XR 1.4 FLEX 8V 4P,PEUGEOT,2009,100000,1.4,Flex,Manual,Hidráulica,Prata,4,8,1,1,1,1,1,0,1,0,0,0,16000.0
PEUGEOT 207 SEDAN PASSION XS 1.6 FLEX 16V 4P,PEUGEOT,2011,60000,1.6,Flex,Manual,Hidráulica,Branco,4,7,1,1,0,1,1,1,0,0,0,0,21900.0
PEUGEOT 208 GRIFFE 1.6 FLEX 16V 5P MEC.,PEUGEOT,2016,75000,1.6,Flex,Manual,Elétrica,Branco,4,5,1,1,1,1,0,1,1,1,0,0,45000.0
PEUGEOT 208 ALLURE 1.6 FLEX 16V 5P AUT.,PEUGEOT,2020,42000,1.6,Flex,Automático,Elétrica,Branco,4,0,0,0,0,0,0,0,0,0,0,0,60000.0
PEUGEOT 308 ACTIVE 1.6 FLEX 16V 5P MEC.,PEUGEOT,2014,91911,1.6,Flex,Manual,Hidráulica,Branco,4,6,1,1,1,1,1,1,1,1,1,0,45500.0
PEUGEOT 207 SEDAN PASSION XR 1.4 FLEX 8V 4P,PEUGEOT,2010,1111111111,1.4,Flex,Manual,Hidráulica,Cinza,4,2,1,1,1,1,1,0,1,1,0,0,19000.0
PEUGEOT 408 SEDAN ALLURE 2.0 FLEX 16V 4P MEC.,PEUGEOT,2012,111953,2.0,Flex,Manual,Hidráulica,Verde,4,7,1,1,1,1,1,1,1,1,0,0,24500.0
PEUGEOT 207 XR 1.4 FLEX 8V 5P,PEUGEOT,2012,0,1.4,Flex,Manual,Hidráulica,Branco,4,8,1,1,1,0,0,0,0,0,0,0,17000.0
PEUGEOT 206 FELINE 1.4/ 1.4 FLEX 8V 5P,PEUGEOT,2010,139197,1.4,Flex,Manual,Hidráulica,Prata,4,9,0,0,0,0,0,0,0,0,0,0,13500.0
